#,Element,Alpha_P_H,Alpha_PP_H,Beta_x,Alpha_x,Mu_x,Beta_y,Alpha_y,Mu_y,Semi_Ap_H,Semi_Ap_V,Dist_Datum_D,Ap_H,Ap_V,Ratio_Ap_Beta_x,Ratio_Ap_Beta_y
96,L14,1.793606,-0.372263,3.594868,0.716121,0.180183,7.947391,-0.594895,0.181067,60.421014,63.458345,9.309,0.120842028,0.12691669,0.0336151502642099,0.0159696043645015
97,L20,1.746362,-0.371738,3.419891,0.661661,0.185949,8.101531,-0.618818,0.183586,59.051899,64.022523,9.436,0.118103798,0.128045046,0.0345343749259844,0.0158050430221152
98,L14,1.709209,-0.371323,3.291843,0.618828,0.190694,8.227183,-0.637713,0.185536,58.01679,64.478472,9.536,0.11603358,0.128956944,0.0352488195822218,0.0156744956323446
99,L14,1.672097,-0.370906,3.172357,0.576035,0.195619,8.356619,-0.65666,0.187455,57.02187,64.944527,9.636,0.11404374,0.129889054,0.0359492137864685,0.0155432542754432
100,L14,1.635028,-0.370488,3.061427,0.533281,0.200727,8.48985,-0.675659,0.189345,56.069363,65.420491,9.736,0.112138726,0.130840982,0.0366295606591305,0.0154114598019988
101,L14,1.598,-0.370071,2.959043,0.490563,0.206016,8.626887,-0.694712,0.191205,55.161528,65.906168,9.836,0.110323056,0.131812336,0.0372833568150243,0.0152792468476751
102,L14,1.561013,-0.369654,2.865199,0.447879,0.211483,8.767739,-0.713817,0.193035,54.30064,66.401365,9.936,0.10860128,0.13280273,0.0379035731898552,0.0151467476392716
103,L21,1.53404,-0.36935,2.802082,0.416741,0.215584,8.872976,-0.727797,0.194352,53.703138,66.76876,10.009,0.107406276,0.13353752,0.0383308825366281,0.0150499133548879
104,L22,1.475365,-0.368693,2.680336,0.348972,0.224823,9.109269,-0.758345,0.197167,52.496657,67.585827,10.168,0.104993314,0.135171654,0.0391716986228592,0.0148389134188484
105,L14,1.438517,-0.368283,2.6148,0.306385,0.230837,9.262865,-0.777627,0.1989,51.807585,68.111268,10.268,0.10361517,0.136222536,0.0396264226709499,0.0147063069579444
106,L14,1.401709,-0.367877,2.55778,0.26382,0.236992,9.420323,-0.796962,0.200603,51.17477,68.645417,10.368,0.10234954,0.137290834,0.0400149895612601,0.0145738987930668
107,L23,1.36733,-0.367501,2.512166,0.224039,0.242864,9.571049,-0.815087,0.202171,50.635617,69.152562,10.4615,0.101271234,0.138305124,0.0403123177369648,0.0144503621285399
108,L24,1.304728,-0.36683,2.448132,0.151534,0.253815,9.854645,-0.848257,0.204965,49.787565,70.096063,10.632,0.09957513,0.140192126,0.0406739219944022,0.0142259945436898
109,L14,1.268065,-0.366445,2.422076,0.109025,0.260353,10.026248,-0.867782,0.206566,49.373578,70.660389,10.732,0.098747156,0.1413207779999999,0.0407696356348851,0.014095081031309
110,L14,1.231439,-0.366068,2.404521,0.066523,0.26695,10.201761,-0.887357,0.20814,49.022527,71.2326,10.832,0.0980450539999999,0.1424652,0.0407752953706788,0.0139647654948983
111,L25,1.1856,-0.365609,2.394523,0.013273,0.275265,10.427213,-0.911955,0.210073,48.672495,71.960449,10.9573,0.0973449899999999,0.143920898,0.0406531864592655,0.0138024319633635
112,SQ5,1.171516,-0.361318,2.394459,-0.011629,0.27784,10.496755,-0.882597,0.210663,48.587512,72.183367,10.99605,0.097175024,0.144366734,0.0405832900041303,0.0137534632369718
113,SQ4,1.157756,-0.348872,2.396979,-0.053425,0.280415,10.561126,-0.778349,0.211249,48.523876,72.38905,11.0348,0.097047752,0.1447781,0.0404875270079546,0.0137085856186168
114,SQ3,1.144634,-0.328459,2.403398,-0.112243,0.282985,10.614473,-0.598046,0.211831,48.493276,72.559037,11.07355,0.096986552,0.145118074,0.0403539288956718,0.0136717172863881
115,SQ2,1.132454,-0.30025,2.415043,-0.188387,0.285545,10.650876,-0.341082,0.212411,48.50737,72.674786,11.1123,0.09701474,0.145349572,0.0401710197292553,0.0136467246449963
116,SQ1,1.101577,-0.199428,2.495674,-0.465862,0.293583,10.618457,0.602185,0.214259,48.920006,72.571715,11.236,0.097840012,0.14514343,0.0392038431301524,0.0136689756336537
117,SQ1,1.083023,-0.100843,2.647272,-0.764223,0.301259,10.355116,1.518803,0.216133,49.907219,71.728553,11.3597,0.0998144379999999,0.143457106,0.0377046400974285,0.0138537420536863
118,SQ2,1.079634,-0.074057,2.709978,-0.854518,0.303562,10.228101,1.757941,0.216732,50.332061,71.318049,11.39845,0.100664122,0.142636098,0.037145734024409,0.0139455112928587
